obs_id,src_id,num_obs,sepn,name,src_n,ra,dec,livetime,significance,likelihood,photflux_aper_s,photflux_aper_lolim_s,photflux_aper_hilim_s,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,streak_src_flag,likelihood_b,likelihood_h,likelihood_m,likelihood_s,likelihood_u,gti_elapse,photflux_aper_b,photflux_aper_lolim_b,photflux_aper_hilim_b,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,photflux_aper_u,photflux_aper_lolim_u,photflux_aper_hilim_u,src_rate_aper_hilim_h,flux_significance_b,flux_significance_h,flux_significance_m,flux_significance_s,flux_significance_u,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_u,flux_aper_lolim_u,flux_aper_hilim_u,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,photflux_aper_h,photflux_aper_lolim_h,photflux_aper_hilim_h,photflux_aper_m,photflux_aper_lolim_m,photflux_aper_hilim_m,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_hs,hard_hs_lolim,hard_hs_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,var_index_u,var_prob_u,ks_prob_u,kp_prob_u,var_sigma_u,var_mean_u,var_min_u,var_max_u,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,var_inter_index_m,var_inter_prob_m,var_inter_sigma_m,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_index_u,var_inter_prob_u,var_inter_sigma_u
PL_0_obs_0,PL_0,13,0.4193276, 2CXO J002406.0-720449,J0024-7204W,6.025354,-72.08032,5544.8,13.73,756.1385,2.395e-06,1.268e-06,3.522e-06,4.071e-15,2.155e-15,5.987e-15,False,43.88,,13.38,14.85,,5829.257,6.767000000000001e-06,4.624e-06,8.91e-06,8.815e-15,3.0399999999999997e-15,1.429e-14,3.862e-06,8.276999999999999e-07,6.897e-06,0.0010222999999999999,3.16,1.61,1.69,2.13,1.27,1.461e-14,9.969e-15,1.901e-14,9.222e-16,1.475e-16,1.697e-15,3.2920000000000002e-15,1.396e-15,5.187e-15,1.521e-06,5.771e-07,2.4659999999999998e-06,1.2840000000000001e-06,5.057e-07,2.023e-06,0.1162,-0.2705,0.4778,-0.2211,-0.5428,0.1218,-0.3173,-0.6015,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.589,0.526,0.48700000000000004,0.00048389999999999994,0.002403,0.002097,0.004711,,,,,,,,,1.0,0.528,0.42700000000000005,0.332,8.003e-05,0.0006862,0.0006504,0.001119,0.0,0.452,0.708,0.409,0.0001264,0.001201,0.0011279999999999999,0.001789,,,,,,,,,4.0,0.588,3.956e-06,5.0,0.787,3.671e-07,3.0,0.496,1.741e-07,5.0,0.71,1.328e-06,3.0,0.43799999999999994,6.257e-06
PL_0_obs_1,PL_0,13,0.4193276, 2CXO J002406.0-720449,J0024-7204W,6.025354,-72.08032,5734.6,13.73,756.1385,0.0,0.0,6.265e-07,0.0,0.0,8.865e-16,False,,,,,,6028.8,1.748e-06,6.05e-07,2.8910000000000004e-06,1.246e-14,4.673e-15,2.025e-14,5.333e-06,1.7780000000000002e-06,8.691e-06,0.0009603,1.53,1.5,0.0,0.0,1.54,1.162e-14,4.358e-15,1.888e-14,2.5359999999999998e-15,7.245e-16,4.257e-15,,,,1.39e-06,4.632e-07,2.316e-06,0.0,0.0,4.06e-07,0.9994,0.564,1.0,0.9994,0.4116,1.0,-0.9994,-1.0,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.588,3.956e-06,5.0,0.787,3.671e-07,3.0,0.496,1.741e-07,5.0,0.71,1.328e-06,3.0,0.43799999999999994,6.257e-06
PL_0_obs_2,PL_0,13,0.4193276, 2CXO J002406.0-720449,J0024-7204W,6.025354,-72.08032,1928.3,13.73,756.1385,0.0,0.0,1.994e-06,0.0,0.0,2.836e-15,False,10.8,,,,,5579.2,5.4279999999999995e-06,1.99e-06,8.866e-06,,,,0.0,0.0,9.805e-06,0.0021636,1.58,1.26,1.08,0.0,0.0,1.609e-14,6.0350000000000004e-15,2.615e-14,0.0,0.0,4.734e-15,3.2740000000000003e-15,1.6369999999999998e-16,6.22e-15,2.9310000000000004e-06,5.427e-07,5.21e-06,1.17e-06,5.571000000000001e-08,2.228e-06,0.5547,0.0906,0.8651,0.9994,0.2367,1.0,0.1487,-0.3142,0.8688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.588,3.956e-06,5.0,0.787,3.671e-07,3.0,0.496,1.741e-07,5.0,0.71,1.328e-06,3.0,0.43799999999999994,6.257e-06
PL_0_obs_3,PL_0,13,0.4193276, 2CXO J002406.0-720449,J0024-7204W,6.025354,-72.08032,5307.0,13.73,756.1385,1.4840000000000001e-06,5.832e-07,2.333e-06,2.669e-15,1.013e-15,4.326e-15,False,15.21,,,,,5579.2,3.541e-06,1.939e-06,5.142e-06,0.0,0.0,1.3630000000000001e-14,5.944e-06,2.1230000000000003e-06,9.552000000000001e-06,0.00037854,2.21,0.0,1.27,1.7,1.6,1.075e-14,6.142e-15,1.514e-14,3.295e-15,1.22e-15,5.37e-15,1.8929999999999998e-15,3.506e-16,3.3659999999999995e-15,0.0,0.0,9.134e-07,7.253e-07,1.554e-07,1.295e-06,-0.5572,-1.0,0.0656,-0.9994,-1.0,-0.2505,-0.3773,-0.7039,0.0418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.401,0.259,0.521,0.00010640000000000001,0.001254,0.001184,0.001639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.588,3.956e-06,5.0,0.787,3.671e-07,3.0,0.496,1.741e-07,5.0,0.71,1.328e-06,3.0,0.43799999999999994,6.257e-06
PL_0_obs_4,PL_0,13,0.4193276, 2CXO J002406.0-720449,J0024-7204W,6.025354,-72.08032,68771.4,13.73,756.1385,1.2140000000000002e-06,9.959999999999999e-07,1.433e-06,2.118e-15,1.737e-15,2.498e-15,False,196.94,54.31,20.63,120.11,28.52,69681.8,2.911e-06,2.5109999999999998e-06,3.312e-06,1.0090000000000001e-14,7.143000000000001e-15,1.2890000000000001e-14,1.5890000000000002e-06,1.05e-06,2.1e-06,0.0003541,7.28,3.57,3.26,5.56,3.03,1.262e-14,1.09e-14,1.435e-14,1.1140000000000002e-15,7.109e-16,1.493e-15,8.312000000000001e-16,5.723e-16,1.09e-15,6.712e-07,4.78e-07,8.543e-07,3.3450000000000004e-07,2.3199999999999999e-07,4.37e-07,0.3448,0.158,0.5128,-0.2948,-0.4379,-0.1455,-0.5746,-0.6827,-0.4528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.248,0.583,0.379,5.638e-05,0.001091,0.0010689999999999999,0.001557,0.0,0.431,0.304,0.192,1.372e-05,0.00025830000000000004,0.0002533,0.0003663,2.0,0.794,0.938,0.995,9.551e-05,0.00020240000000000001,0.0001054,0.0004162,0.0,0.35,0.039,0.055,3.827e-05,0.0006314,0.0006165,0.001032,1.0,0.5329999999999999,0.542,0.39299999999999996,1.156e-05,0.00017219999999999998,0.00016840000000000003,0.0002947,4.0,0.588,3.956e-06,5.0,0.787,3.671e-07,3.0,0.496,1.741e-07,5.0,0.71,1.328e-06,3.0,0.43799999999999994,6.257e-06
PL_0_obs_5,PL_0,13,0.4193276, 2CXO J002406.0-720449,J0024-7204W,6.025354,-72.08032,65240.7,13.73,756.1385,8.725e-07,6.823999999999999e-07,1.063e-06,1.394e-15,1.087e-15,1.702e-15,False,196.2,57.68,64.6,72.43,,66104.4,2.982e-06,2.564e-06,3.399e-06,5.484e-15,3.929e-15,6.956999999999999e-15,6.83e-07,3.036e-07,1.062e-06,0.00037913,7.15,3.84,4.29,4.59,1.8,8.232e-15,7.041e-15,9.361e-15,2.533e-15,1.235e-15,3.8299999999999995e-15,1.55e-15,1.189e-15,1.911e-15,7.297e-07,5.345e-07,9.147e-07,6.053000000000001e-07,4.643e-07,7.462e-07,0.0949,-0.0743,0.258,-0.0924,-0.2542,0.0693,-0.1849,-0.3279,-0.0356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.41600000000000004,0.813,0.55,0.0001063,0.001119,0.001076,0.0018809999999999999,0.0,0.466,0.9229999999999999,0.8240000000000001,1.978e-05,0.0002874,0.00027889999999999995,0.0004396,1.0,0.573,0.435,0.8009999999999999,8.923e-05,0.0003632,0.0002918,0.0008083999999999999,1.0,0.529,0.821,0.49,4.123e-05,0.0004689,0.0004533,0.0009006999999999999,,,,,,,,,4.0,0.588,3.956e-06,5.0,0.787,3.671e-07,3.0,0.496,1.741e-07,5.0,0.71,1.328e-06,3.0,0.43799999999999994,6.257e-06
PL_0_obs_6,PL_0,13,0.4193276, 2CXO J002406.0-720449,J0024-7204W,6.025354,-72.08032,59044.6,13.73,756.1385,9.493000000000001e-07,7.398e-07,1.159e-06,1.6670000000000003e-15,1.3039999999999999e-15,2.031e-15,False,165.24,45.36,34.16,77.89,7.97,66106.86099999999,2.571e-06,2.144e-06,2.972e-06,5.008e-15,3.3920000000000003e-15,6.6230000000000005e-15,8.96e-07,4.48e-07,1.32e-06,0.0003207,6.22,3.18,3.26,4.53,2.05,7.393e-15,6.1920000000000004e-15,8.594e-15,5.14e-16,2.361e-16,7.779e-16,9.907e-16,6.871000000000001e-16,1.294e-15,5.919e-07,4.01e-07,7.733e-07,3.907e-07,2.7100000000000003e-07,5.104999999999999e-07,0.2236,0.0156,0.4116,-0.2336,-0.4029,-0.0606,-0.4285,-0.569,-0.2755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.799,0.805,0.7090000000000001,0.00035329999999999997,0.0009861000000000002,0.0006797999999999999,0.0028190000000000003,0.0,0.447,0.655,0.369,1.242e-05,0.000234,0.00022969999999999997,0.0003328,0.0,0.445,0.583,0.139,1.22e-05,0.000234,0.00022999999999999998,0.0003319,1.0,0.58,0.8420000000000001,0.7859999999999999,5.862e-05,0.0005182,0.0004946000000000001,0.001039,,,,,,,,,4.0,0.588,3.956e-06,5.0,0.787,3.671e-07,3.0,0.496,1.741e-07,5.0,0.71,1.328e-06,3.0,0.43799999999999994,6.257e-06
PL_0_obs_7,PL_0,13,0.4193276, 2CXO J002406.0-720449,J0024-7204W,6.025354,-72.08032,65237.5,13.73,756.1385,7.768e-07,5.904e-07,9.529e-07,1.289e-15,9.795e-16,1.581e-15,False,120.64,19.47,54.39,53.91,7.76,66104.33099999999,2.4209999999999998e-06,2.0369999999999997e-06,2.805e-06,2.5559999999999997e-15,1.562e-15,3.503e-15,1.3690000000000001e-06,8.633e-07,1.875e-06,0.00021545,6.31,2.7,4.29,4.29,2.71,4.899e-15,4.108e-15,5.689e-15,3.283e-15,2.06e-15,4.507e-15,1.454e-15,1.115e-15,1.7920000000000003e-15,3.8170000000000004e-07,2.369e-07,5.199e-07,6.043e-07,4.636e-07,7.45e-07,-0.2136,-0.4091,-0.0181,-0.3373,-0.5166,-0.1505,-0.1299,-0.2804,0.0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.904,0.982,0.877,0.0002048,0.0009379,0.0008521000000000001,0.0028190000000000003,1.0,0.635,0.628,0.129,1.062e-05,0.00015130000000000002,0.0001486,0.000332,0.0,0.46399999999999997,0.376,0.13,2.499e-05,0.00036310000000000004,0.0003552,0.0006076,1.0,0.611,0.991,0.977,4.405e-05,0.00042360000000000005,0.00040510000000000003,0.0008637,,,,,,,,,4.0,0.588,3.956e-06,5.0,0.787,3.671e-07,3.0,0.496,1.741e-07,5.0,0.71,1.328e-06,3.0,0.43799999999999994,6.257e-06
PL_0_obs_8,PL_0,13,0.4193276, 2CXO J002406.0-720449,J0024-7204W,6.025354,-72.08032,4691.1,13.73,756.1385,0.0,0.0,1.877e-06,,,,False,,,,,,4905.0,2.561e-06,0.0,5.122e-06,0.0,0.0,2.476e-14,0.0,0.0,3.611e-05,0.0016035,1.0,0.0,0.0,0.0,0.0,1.486e-14,0.0,2.901e-14,,,,,,,0.0,0.0,3.263e-06,0.0,0.0,1.486e-06,0.9994,0.0156,1.0,0.9994,-0.0931,1.0,-0.9994,-1.0,0.2492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.588,3.956e-06,5.0,0.787,3.671e-07,3.0,0.496,1.741e-07,5.0,0.71,1.328e-06,3.0,0.43799999999999994,6.257e-06
PL_0_obs_9,PL_0,13,0.4193276, 2CXO J002406.0-720449,J0024-7204W,6.025354,-72.08032,31673.8,13.73,756.1385,1.273e-06,8.83e-07,1.6630000000000002e-06,2.534e-15,1.745e-15,3.3240000000000004e-15,False,79.46,38.65,18.76,32.82,,32080.0,3.9e-06,3.077e-06,4.681000000000001e-06,8.883e-15,5.869e-15,1.174e-14,3.4e-06,6.296e-07,6.17e-06,0.00050328,4.86,3.03,2.44,3.26,1.23,1.24e-14,9.804999999999999e-15,1.485e-14,1.2e-15,2.308e-16,2.169e-15,1.103e-15,6.4e-16,1.5449999999999999e-15,1.003e-06,6.625e-07,1.325e-06,4.553e-07,2.641e-07,6.374e-07,0.3985,0.1705,0.6002,-0.1274,-0.3329,0.0918,-0.4984,-0.6715,-0.2929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.49700000000000005,0.32299999999999995,0.086,0.00011009999999999999,0.0009975,0.0009456,0.00182,1.0,0.5820000000000001,0.315,0.6859999999999999,7.676e-05,0.000343,0.0002816,0.0005939,0.0,0.485,0.743,0.237,3.519e-05,0.00024940000000000004,0.000225,0.0003854,1.0,0.606,0.491,0.6779999999999999,4.381e-05,0.0004052,0.00038849999999999996,0.000859,,,,,,,,,4.0,0.588,3.956e-06,5.0,0.787,3.671e-07,3.0,0.496,1.741e-07,5.0,0.71,1.328e-06,3.0,0.43799999999999994,6.257e-06
