obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_lolim_b,photflux_aper_b,photflux_aper_hilim_b,photflux_aper_h,photflux_aper_lolim_h,photflux_aper_hilim_h,photflux_aper_m,photflux_aper_hilim_m,photflux_aper_lolim_m,flux_aper_b,flux_aper_hilim_b,flux_aper_lolim_b,photflux_aper_lolim_s,photflux_aper_s,photflux_aper_hilim_s,hard_hm,hard_hs,hard_ms,flux_aper_lolim_m,flux_aper_m,flux_aper_hilim_m,flux_aper_lolim_s,flux_aper_s,flux_aper_hilim_s,flux_aper_hilim_h,flux_aper_lolim_h,flux_aper_h,photflux_aper_lolim_u,photflux_aper_hilim_u,photflux_aper_u,var_inter_sigma_b,var_inter_prob_b,var_inter_index_b,var_inter_index_m,var_inter_sigma_m,var_inter_prob_m,var_inter_sigma_s,var_inter_prob_s,var_inter_index_s,var_inter_index_h,var_inter_sigma_h,var_inter_prob_h,flux_aper_lolim_u,flux_aper_u,flux_aper_hilim_u,ks_prob_b,kp_prob_b,var_sigma_b,var_prob_b,var_max_b,var_min_b,var_mean_b
CV_0_obs_0,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,4103.7,52.93,16618.73,CV,6.943076515977701,5.739045936295187,5.458920232223371,5.96848562583565,7.134319757353824,5.686132779630847,6.2648081474980195,5.973466735476704,7.333602995299662,14.31017958577566,14.027797161620935,15.42452394662071,7.062526352806552,5.986660538787925,5.698752911363789,0.9994,0.9994,-0.9994,15.896367943740612,14.872391874436905,14.564633493387339,15.825112760692814,14.849474931586926,14.564474148501345,13.93292914395463,15.451364940185249,14.2209087961545,5.163854584325485,3.9262816496538773,4.189565517129239,0.0004766,1.0,6.0,5.51,1.3552291000000006e-05,0.9991199999999997,2.546e-05,0.989,5.0,8.0,0.0003850009359999996,0.9995899999999993,13.803500278830324,13.309878365673145,13.17750501472125,0.7468700000000003,0.6494199999999996,0.000913217,0.5446200000000004,0.007299850000000001,0.0019730260000000006,0.0024296000000000005
CV_0_obs_1,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,6.783138048248728,5.749368738142745,5.461551948289783,5.870536386914015,6.93365005760022,5.5968794788241825,5.9920037276713165,5.698319050706424,7.166814546084249,14.000306949777347,13.717604495257474,14.970387108002488,6.619609732311951,5.7363631226798635,5.4362816600343224,0.9994,-0.9994,-0.9994,15.752056448862684,14.57135309124947,14.288192770958808,15.508824207886724,14.566457827349538,14.264321274094096,13.738975166007602,15.116465093919299,14.027351073471712,4.715284271398207,3.4377071355435254,3.7443955158769113,0.0004766,1.0,6.0,5.51,1.4034906000000003e-05,0.9991199999999997,2.546e-05,0.989,5.0,8.0,0.00037966406599999967,0.9995899999999993,13.560665147009011,12.803415808579064,12.64839692758087,0.5606700000000003,0.5877399999999997,0.0007870225000000002,0.6043700000000001,0.006680820000000004,0.0016686569999999987,0.0020431399999999984
CV_0_obs_2,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,6.9581749144154665,5.873632063405443,5.575281662668433,5.879755204453635,6.879755204453635,5.6010189333418685,6.264684000915416,6.002176919254275,7.363838077046678,14.319127621301398,14.039148846280314,15.36531354537229,6.625921298304905,5.914422549242488,5.643209539648284,0.9994,0.06,-0.9994,15.877437409893616,14.886725236014772,14.59328954139021,15.383251430745881,14.759867766793382,14.526221165353276,13.876475019057269,15.456056057517094,14.15508812608786,4.743661409896825,3.6765416331505323,3.75897075672937,0.0004766,1.0,6.0,5.45,1.3959587000000004e-05,0.9993999999999997,2.546e-05,0.989,5.0,7.16,0.00038516036599999963,0.9991599999999992,13.660361616023444,13.169641636301922,12.947306058075032,0.7400600000000007,0.6258699999999995,0.0009516300000000003,0.6035599999999998,0.007102390000000002,0.0016034139999999996,0.002065919999999999
CV_0_obs_3,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3904.6,52.93,16618.73,CV,6.13353543402826,5.547293773488971,5.306536872780469,5.768020973168496,6.387852161673513,5.522589312092748,6.355441974504487,6.114695332411032,7.312127151781791,14.03819936080832,13.797511682939906,14.624519285381428,6.50163560065083,5.809948582240794,5.508918586576812,0.9994,-0.0837,-0.9994,15.813341404964495,14.957001449705038,14.705974905904677,15.301725662647545,14.509199047989146,14.219826756357406,13.817015032996418,14.68235445677884,14.062482107982653,5.047291862615506,3.876475019057268,4.15455383075573,0.0004766,1.0,6.0,5.51,1.2266492000000005e-05,0.9991199999999997,2.546e-05,0.989,5.0,8.0,0.0003857150659999996,0.9995899999999993,13.777255281238347,13.25285979546802,13.06414020196212,0.5314700000000003,0.5593700000000001,0.00062699,0.5082800000000001,0.005795040000000004,0.0023717999999999994,0.0027669299999999995
CV_0_obs_4,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,6.961601542713683,5.981268411658997,5.708409174341999,6.30813050484306,7.111844637725893,6.059533322336471,6.104190849830869,5.815308569182402,7.359518563029578,14.830101949722817,14.543785844642011,15.71510235800891,6.647978040571976,6.012820686350825,5.757458571701616,-0.9994,-0.9994,-0.2823,15.935542010773082,14.680477550934546,14.404283380056576,15.408483342256465,14.858124183852187,14.623423042943488,14.146119349875457,15.512215821143059,14.45767167349583,5.027164545046813,3.8218867476853684,4.138705496312719,0.0004766,1.0,6.0,5.43,1.4534179000000003e-05,0.9993999999999997,2.546e-05,0.989,5.0,8.0,0.00038701793599999965,0.9994999999999993,13.828645986766988,13.28205799872246,13.072989131024348,0.7045500000000002,0.6616799999999998,0.0006785140000000003,0.5386600000000001,0.006067940000000005,0.0024074300000000003,0.002778899999999999
CV_0_obs_5,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,6.932290893497286,5.963284341929981,5.677160727313679,6.305110151640443,7.113897606984461,6.0602811176458955,6.1094113322945125,5.830619504688051,7.1094113322945125,14.84937012603201,14.603277721496227,15.498290607574818,6.687180076457728,6.051653392486436,5.784626847216578,-0.9994,-0.9994,-0.2798,15.693574972449312,14.693574972449312,14.414764936634224,15.568744847774166,14.904911703891425,14.650528200785613,14.149108815864077,15.466852468565644,14.4568262756375,5.023067829787765,3.8904214530956134,4.143134599323896,0.0004766,1.0,6.0,5.49,1.4534179000000003e-05,0.9991199999999997,2.546e-05,0.989,5.0,8.0,0.0003809669359999997,0.9995899999999993,13.844611321198705,13.280631460213488,13.077949597832827,0.6545900000000003,0.65862,0.0006421150000000001,0.5369600000000001,0.006079640000000006,0.00240398,0.0027436900000000005
CV_0_obs_7,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3906.9,52.93,16618.73,CV,7.0030212737665565,6.153331172526779,5.868702203402377,6.242576146321451,6.943838645082012,6.004145520125434,6.398367160588451,6.127902025725773,7.308393559993437,14.371910289550026,14.089962876446949,15.13810247392539,6.578884306709067,6.047233357159975,5.788612447063142,0.9994,-0.9994,-0.9994,15.804832052026924,14.964144533627055,14.702020755840637,15.438855679561218,14.900332250911568,14.654430243943608,14.146180154143236,15.119018374310564,14.452657044273833,5.048935839903304,3.9333014495770047,4.197084295507452,0.0004766,1.0,6.0,5.5,1.2184250000000005e-05,0.9991199999999997,2.546e-05,0.989,5.0,8.0,0.0003871773659999996,0.9995899999999993,13.818831600837616,13.294951242688226,13.12372441132212,0.5233700000000002,0.5904799999999996,0.0007432880000000002,0.5403500000000004,0.006648370000000003,0.00236476,0.0027465000000000007
CV_0_obs_8,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3904.0,52.93,16618.73,CV,6.285335007137463,5.569280112136718,5.321481620959886,5.788345599446817,6.469544156415324,5.535063570878267,6.137391636035058,5.848017604542526,7.327275277896265,13.60712725459792,13.393941250589686,14.084178212379602,6.568911559952082,6.00927860197211,5.763462738511306,0.4884,0.9944,-0.3548,15.840547858604193,14.700928739972591,14.411392195257314,15.494370502950693,14.870590221799407,14.629301907424423,13.337147766735203,14.202455485638273,13.582694416755475,5.179329877769401,3.9427143555817854,4.175509093348796,0.0004766,1.0,6.0,5.53,1.4071837000000006e-05,0.9991199999999997,2.546e-05,0.989,5.0,8.0,0.00038887894099999965,0.9995899999999993,13.805498675402694,13.28268778691542,13.118102026426989,0.7600700000000002,0.7177500000000003,0.0006204420000000002,0.5762100000000001,0.005882520000000005,0.00256326,0.0031461099999999997
CV_0_obs_9,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3971.3,52.93,16618.73,CV,7.0063324789716015,6.154646764035318,5.878768544850379,6.288969411489068,6.908772523109434,6.061930813776614,6.432793055652271,6.17134010346468,7.334764659302524,14.367533617715953,14.082967377837607,15.101844099845877,6.568385975991146,6.052441127404296,5.800793520838343,0.9994,-0.9994,-0.9994,15.80843034333257,14.972326974464925,14.709297756712145,15.330135504899852,14.908194988232994,14.666754301038036,14.150764908685277,15.044321459127104,14.445818487277869,4.996616545772588,3.9083330424043154,4.192700583278657,0.0004766,1.0,6.0,5.5,1.2184250000000005e-05,0.9991199999999997,2.546e-05,0.989,5.0,8.0,0.0003871773659999996,0.9995899999999993,13.77662697326871,13.282925095865922,13.159454812363162,0.5379200000000003,0.5720599999999998,0.000838414,0.5484200000000001,0.006712510000000004,0.00236231,0.0027776399999999996
CV_0_obs_10,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3971.9,52.93,16618.73,CV,7.029655144223767,6.160554493084297,5.882728704344236,6.294760338965935,6.930562010769019,6.067374055978218,6.441456248147224,6.203217588298692,7.332649274691056,14.369521838650062,14.08692825969075,15.097667972030306,6.677306362982938,6.07743780166401,5.824198367151721,0.9994,-0.9994,-0.9994,15.89552645116585,14.976462990333047,14.721932669111338,15.575720406863194,14.93332353711239,14.689944262249108,14.156206801674088,15.032868761367324,14.450574780140801,5.058384814507197,3.9637704559137052,4.2144159070954625,0.0004766,1.0,6.0,5.5,1.2184250000000005e-05,0.9991199999999997,2.546e-05,0.989,5.0,8.0,0.0003871773659999996,0.9995899999999993,13.832087962310545,13.433469892463672,13.214812579970639,0.5554600000000002,0.5762299999999999,0.000826895,0.5500500000000001,0.006740130000000004,0.00235112,0.0027564699999999996
