obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,hard_hm,hard_hs,hard_ms,var_inter_prob_b,var_inter_index_b,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper_lolim_s,var_inter_sigma_m,var_inter_sigma_s,var_inter_index_m,var_inter_index_s,var_inter_index_h,flux_aper_hilim_u,var_mean_b,var_sigma_b,ks_prob_b,var_prob_b,var_inter_sigma_u
CV_0_obs_0,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,4103.7,52.93,16618.73,CV,0.9994,0.9994,-0.9994,1.0,6.0,16.450620695628558,15.451364940185249,16.21145072895762,2.7011600000000014e-05,2.546e-05,5.0,5.0,5.0,13.17750501472125,0.0017942089999999997,0.00045788200000000017,0.7451799999999998,0.6680999999999997,9.6636717e-05
CV_0_obs_1,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,0.9994,-0.9994,-0.9994,1.0,6.0,15.476238281214762,13.80824991146054,13.173574353413732,2.928580000000001e-05,2.546e-05,4.95,5.0,4.96,12.64839692758087,0.00816008,0.0022227090000000015,0.4839600000000003,0.46334,0.00010064842999999999
CV_0_obs_2,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,0.9994,0.06,-0.9994,1.0,6.0,15.910918636121009,15.456056057517094,15.423867399428177,2.7011600000000014e-05,2.546e-05,5.0,5.0,5.0,12.947306058075032,0.0021504399999999987,0.0007586400000000005,0.7354499999999998,0.6105100000000001,9.534335699999998e-05
CV_0_obs_3,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3904.6,52.93,16618.73,CV,0.9994,-0.0837,-0.9994,1.0,6.0,15.972625915351259,14.68235445677884,15.621634028069685,2.7011600000000014e-05,2.546e-05,5.0,5.0,5.0,13.06414020196212,0.0023821539999999987,0.0007558999999999999,0.7254999999999999,0.5573500000000002,9.695377999999999e-05
CV_0_obs_4,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,-0.9994,-0.9994,-0.2823,1.0,6.0,15.935542010773082,15.314415956271898,15.42364948686783,2.7011600000000014e-05,2.546e-05,5.0,5.0,5.0,13.072989131024348,0.001925527999999999,0.0006564540000000008,0.7639199999999995,0.6835600000000001,7.274384000000006e-05
CV_0_obs_5,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,-0.9994,-0.9994,-0.2798,1.0,6.0,15.693574972449312,15.312087511382424,15.209258199381095,2.7011600000000014e-05,2.546e-05,5.0,5.0,5.0,13.077949597832827,0.0020042489999999983,0.0006443070000000006,0.7434299999999999,0.6189700000000001,7.244304000000005e-05
CV_0_obs_7,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3906.9,52.93,16618.73,CV,0.9994,-0.9994,-0.9994,1.0,6.0,16.522323809233573,15.148165644943003,15.29661459017203,2.7011600000000014e-05,2.546e-05,5.0,5.0,5.0,13.12372441132212,0.001907779999999999,0.0005486820000000004,0.7675199999999998,0.63422,9.633982e-05
CV_0_obs_8,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3904.0,52.93,16618.73,CV,0.4884,0.9944,-0.3548,1.0,6.0,15.839728996612854,14.202455485638273,15.879570127699315,2.7011600000000014e-05,2.546e-05,5.0,5.0,5.0,13.118102026426989,0.0026117999999999996,0.0007681890000000001,0.8114899999999997,0.6469000000000003,7.923881000000006e-05
CV_0_obs_9,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3971.3,52.93,16618.73,CV,0.9994,-0.9994,-0.9994,1.0,6.0,16.521572972931015,15.140045639116934,15.300315103238374,2.7011600000000014e-05,2.546e-05,5.0,5.0,5.0,13.159454812363162,0.0019080499999999988,0.0005487540000000005,0.7797999999999996,0.63422,9.633982e-05
CV_0_obs_10,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3971.9,52.93,16618.73,CV,0.9994,-0.9994,-0.9994,1.0,6.0,16.535254122367743,15.123133933159016,15.357174811381533,2.7011600000000014e-05,2.546e-05,5.0,5.0,5.0,13.214812579970639,0.001897599999999999,0.0005485930000000004,0.7747399999999998,0.64314,9.531522e-05
