obs_id,src_id,ra,dec,livetime,src_n,likelihood,num_obs,name,significance,photflux_aper_lolim_b,photflux_aper_hilim_b,photflux_aper_b,photflux_aper_h,photflux_aper_hilim_h,photflux_aper_lolim_h,flux_aper_b,flux_aper_hilim_b,flux_aper_lolim_b,photflux_aper_hilim_s,photflux_aper_s,photflux_aper_lolim_s,photflux_aper_hilim_m,photflux_aper_lolim_m,photflux_aper_m,hard_hs,hard_hm,hard_ms,flux_aper_lolim_s,flux_aper_hilim_s,flux_aper_s,flux_aper_hilim_h,flux_aper_lolim_h,flux_aper_h,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_m,photflux_aper_lolim_u,photflux_aper_u,photflux_aper_hilim_u,flux_aper_u,flux_aper_hilim_u,flux_aper_lolim_u,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,var_inter_sigma_s,var_inter_prob_s,var_inter_index_s,var_inter_index_m,var_inter_prob_m,var_inter_sigma_m,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,var_prob_b,var_max_b,var_mean_b,var_sigma_b,var_min_b,ks_prob_b,kp_prob_b,var_max_m,var_prob_m,ks_prob_m,var_index_m,var_mean_m,var_min_m,var_sigma_m,kp_prob_m,var_index_h,var_prob_h,var_max_h,var_min_h,var_mean_h,var_sigma_h,kp_prob_h,ks_prob_h,var_prob_s,var_index_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,var_inter_index_u,var_inter_prob_u,var_inter_sigma_u,class
CV_0_obs_0,CV_0,10.68773,41.25582,4903.5,[HPH2013]_176__________,304.4646,33, 2CXO J004245.0+411520,11.31,0.0,0.0,0.0,-20.0,6.21645371772965,-20.0,-20.0,14.167171870460647,-20.0,6.109802613789971,-20.0,-20.0,6.322119418488409,-20.0,-20.0,-0.9994,0.9994,-0.9994,-20.0,14.861697301833718,-20.0,14.231287919622336,-20.0,-20.0,-20.0,14.89859664944467,-20.0,-20.0,-20.0,4.583359492661719,-20.0,13.834458923277626,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CV
CV_0_obs_1,CV_0,10.68773,41.25582,3974.2,[HPH2013]_176__________,304.4646,33, 2CXO J004245.0+411520,11.31,-20.0,5.909741947068683,-20.0,-20.0,6.069866354158882,-20.0,-20.0,14.11565785235294,-20.0,5.768785352037399,-20.0,-20.0,0.0,0.0,0.0,-0.9994,0.0,0.0,-20.0,14.634699251362013,-20.0,14.212256228353533,-20.0,-20.0,0.0,0.0,0.0,-20.0,-20.0,3.6836102489268048,-20.0,12.923359556329657,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CV
CV_0_obs_2,CV_0,10.68773,41.25582,3907.5,[HPH2013]_176__________,304.4646,33, 2CXO J004245.0+411520,11.31,-20.0,5.705754283861882,-20.0,-20.0,6.072219150652625,-20.0,-20.0,14.388701637703571,-20.0,5.507379277956808,5.808269606637143,-20.0,6.132414673452963,-20.0,-20.0,-0.9994,0.9994,-0.9994,15.762707662432542,14.24420134302617,14.532243948755967,14.144662595530459,-20.0,-20.0,-20.0,14.723538195826755,-20.0,-20.0,-20.0,3.7162466166674735,-20.0,12.95233580539844,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CV
CV_0_obs_3,CV_0,10.68773,41.25582,3907.5,[HPH2013]_176__________,304.4646,33, 2CXO J004245.0+411520,11.31,-20.0,5.847100403606253,-20.0,-20.0,5.934047019686131,-20.0,-20.0,14.06833876031552,-20.0,5.82623117686335,-20.0,-20.0,6.1024828705994745,-20.0,-20.0,-0.9994,0.9994,-0.9994,-20.0,14.692290076595194,-20.0,14.076082776886894,-20.0,-20.0,-20.0,14.693574972449312,-20.0,-20.0,-20.0,3.7269987279362624,-20.0,12.978397283971757,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CV
CV_0_obs_4,CV_0,10.68773,41.25582,3907.5,[HPH2013]_176__________,304.4646,33, 2CXO J004245.0+411520,11.31,6.411280220399943,5.394264106123253,5.647817481888637,6.007534852191957,5.727694155597914,7.329754146925876,14.159517512786557,13.890759031411797,15.004628093971837,5.830913642512977,-20.0,-20.0,5.903089986991944,-20.0,-20.0,0.4247,0.9994,-0.9994,-20.0,14.696587929403258,-20.0,13.904133546521457,15.495257363728312,14.19422736806433,-20.0,14.47573373123302,-20.0,-20.0,-20.0,3.771599641296995,-20.0,13.000434511774017,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CV
CV_0_obs_5,CV_0,10.68773,41.25582,39875.5,[HPH2013]_176__________,304.4646,33, 2CXO J004245.0+411520,11.31,7.953504835665291,6.35144484433733,6.631341287607773,-20.0,6.841637507904751,-20.0,15.331241458249043,15.040195683491662,16.67366413907125,6.746661994673894,-20.0,-20.0,6.685922008220787,7.7559704109699785,6.943095148663527,-0.9994,-0.3073,0.0837,-20.0,15.382370702242158,-20.0,15.122455892284057,-20.0,-20.0,16.382056565171027,15.311936303053656,15.569119053547109,5.336676066371788,5.105351696206482,4.95506845385084,14.921543181946708,14.620694482249418,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CV
CV_0_obs_6,CV_0,10.68773,41.25582,36675.6,[HPH2013]_176__________,304.4646,33, 2CXO J004245.0+411520,11.31,-20.0,6.560667306169737,-20.0,0.0,0.0,0.0,-20.0,15.534319788401723,-20.0,6.531209737900389,6.8201610719768135,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,15.442011851775087,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.908684840302777,4.757955760630449,4.6522797829659615,12.94692155651658,12.84496777120903,13.089375595110798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CV
CV_0_obs_7,CV_0,10.68773,41.25582,39784.9,[HPH2013]_176__________,304.4646,33, 2CXO J004245.0+411520,11.31,7.3453422453504755,6.324130044681043,6.585695311871668,-20.0,6.901702463505302,-20.0,15.425274416405927,15.144420277498282,16.767766478885267,6.462432742847325,6.732828271596986,7.774174008538107,7.008818242332127,-20.0,-20.0,-0.9994,0.9994,-0.9994,16.081497860363825,15.081497860363827,15.333294863880102,15.566710314804974,-20.0,-20.0,-20.0,15.667965722972482,-20.0,4.608359296507612,4.510041520575165,4.434506370131138,12.455931955649724,12.374996398985136,12.555486793665956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CV
CV_0_obs_8,CV_0,10.68773,41.25582,3906.9,[HPH2013]_176__________,304.4646,33, 2CXO J004245.0+411520,11.31,-20.0,5.917573699139228,-20.0,-20.0,6.06013145554049,-20.0,-20.0,14.002395212539545,-20.0,5.788345599446817,-20.0,-20.0,6.1385850813640035,-20.0,-20.0,-0.9994,0.9994,-0.9994,-20.0,14.630413109263655,-20.0,14.135133085671473,-20.0,-20.0,-20.0,14.729787145103757,-20.0,-20.0,-20.0,3.8486301497525397,-20.0,13.07355465218161,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CV
CV_0_obs_9,CV_0,10.68773,41.25582,3763.1,[HPH2013]_176__________,304.4646,33, 2CXO J004245.0+411520,11.31,-20.0,5.608888386297197,5.909741947068683,-20.0,6.005155150446602,-20.0,-20.0,14.590404980603184,-20.0,5.838332587562264,-20.0,-20.0,5.917573699139228,-20.0,-20.0,-0.9994,-0.5721,-0.9994,-20.0,14.695940533782402,-20.0,14.201902067937514,-20.0,-20.0,-20.0,14.59260909552927,-20.0,-20.0,-20.0,3.8548035938858183,-20.0,13.106071873457394,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CV
