obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_lolim_b,photflux_aper_hilim_b,photflux_aper_b,photflux_aper_hilim_h,photflux_aper_lolim_h,photflux_aper_h,flux_aper_lolim_b,flux_aper_b,flux_aper_hilim_b,photflux_aper_s,photflux_aper_lolim_s,photflux_aper_hilim_s,photflux_aper_m,photflux_aper_lolim_m,photflux_aper_hilim_m,hard_hs,hard_hm,hard_ms,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,flux_aper_hilim_h,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_m,flux_aper_m,flux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_u,photflux_aper_hilim_u,flux_aper_u,flux_aper_hilim_u,flux_aper_lolim_u,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,var_inter_prob_s,var_inter_sigma_s,var_inter_index_s,var_inter_index_m,var_inter_prob_m,var_inter_sigma_m,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,var_prob_b,var_mean_b,var_sigma_b,var_min_b,var_max_b,ks_prob_b,kp_prob_b
CV_0_obs_0,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,4903.5,11.31,304.4646,CV,-14.7759519396345,-5.944387869230031,-6.0700312974656825,-6.21645371772965,-20.0,-20.0,-20.0,-20.0,-14.167171870460647,-20.0,-20.0,-6.109802613789971,-20.0,-20.0,-6.322119418488409,-0.9994,0.9994,-0.9994,-20.0,-20.0,-14.861697301833718,-14.231287919622336,-20.0,-20.0,-14.89859664944467,-20.0,-20.0,-20.0,-20.0,-4.583359492661719,-20.0,-13.834458923277626,-20.0,6.81,0.9964800000000001,0.00047046100000000047,0.9914800000000003,3.629480000000002e-05,5.38,4.88,0.7613699999999993,8.011690000000011e-05,5.11,0.9264199999999991,0.00012977093999999988,0.3388800000000001,0.010026518000000005,0.0012082516999999992,0.009996500000000007,0.013863039999999991,0.48352000000000006,0.4692400000000002
CV_0_obs_2,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,-20.0,-5.705754283861882,-20.0,-6.072219150652625,-20.0,-20.0,-20.0,-20.0,-14.388701637703571,-5.808269606637143,-20.0,-5.507379277956808,-20.0,-20.0,-6.132414673452963,-0.9994,0.9994,-0.9994,-14.532243948755967,-15.762707662432542,-14.24420134302617,-14.144662595530459,-20.0,-20.0,-14.723538195826755,-20.0,-20.0,-20.0,-20.0,-3.7162466166674735,-20.0,-12.95233580539844,-20.0,6.88,0.9977400000000002,0.0004665950000000005,0.9920000000000003,3.581560000000003e-05,5.4,4.79,0.7639899999999992,8.075790000000008e-05,5.53,0.9204599999999994,0.00012215543999999988,0.52573,0.009557164000000005,0.0037716940000000016,0.009127060000000006,0.022759139999999994,0.44175,0.3005200000000002
CV_0_obs_3,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,-20.0,-5.847100403606253,-20.0,-5.934047019686131,-20.0,-20.0,-20.0,-20.0,-14.06833876031552,-20.0,-20.0,-5.82623117686335,-20.0,-20.0,-6.1024828705994745,-0.9994,0.9994,-0.9994,-20.0,-20.0,-14.692290076595194,-14.076082776886894,-20.0,-20.0,-14.693574972449312,-20.0,-20.0,-20.0,-20.0,-3.7269987279362624,-20.0,-12.978397283971757,-20.0,6.88,0.9965200000000002,0.0004665950000000005,0.9926200000000003,3.5909300000000026e-05,5.4,4.8,0.758729999999999,7.99167000000001e-05,5.54,0.9262499999999991,0.00012332813999999987,0.52619,0.009652424000000005,0.004017142000000002,0.009137930000000006,0.022634339999999992,0.43288000000000004,0.3181300000000002
CV_0_obs_4,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,-6.411280220399943,-5.394264106123253,-5.647817481888637,-5.727694155597914,-7.329754146925876,-6.007534852191957,-15.004628093971837,-14.159517512786557,-13.890759031411797,-20.0,-20.0,-5.830913642512977,-20.0,-20.0,-5.903089986991944,0.4247,0.9994,-0.9994,-20.0,-20.0,-14.696587929403258,-13.904133546521457,-14.19422736806433,-15.495257363728312,-14.47573373123302,-20.0,-20.0,-20.0,-20.0,-3.771599641296995,-20.0,-13.000434511774017,-20.0,6.87,0.99582,0.0004665950000000005,0.9921600000000004,3.579820000000002e-05,5.34,4.71,0.7594299999999993,8.087820000000012e-05,5.55,0.9266799999999991,0.00012256523999999987,0.51449,0.009404827000000003,0.0037307150000000016,0.009242580000000005,0.022964039999999995,0.41624999999999995,0.36038000000000003
CV_0_obs_5,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,39875.5,11.31,304.4646,CV,-7.953504835665291,-6.35144484433733,-6.631341287607773,-6.841637507904751,-20.0,-20.0,-16.67366413907125,-15.331241458249043,-15.040195683491662,-20.0,-20.0,-6.746661994673894,-6.943095148663527,-7.7559704109699785,-6.685922008220787,-0.9994,-0.3073,0.0837,-20.0,-20.0,-15.382370702242158,-15.122455892284057,-20.0,-20.0,-15.311936303053656,-15.569119053547109,-16.382056565171027,-5.336676066371788,-5.105351696206482,-4.95506845385084,-14.921543181946708,-14.620694482249418,-20.0,6.84,0.9963500000000001,0.0005342760000000002,0.9946300000000001,8.170063000000004e-05,6.4,5.01,0.7821399999999993,0.00012447799999999994,5.11,0.9260399999999993,0.00014809588999999988,0.3603900000000001,0.009998927000000005,0.0012305456999999998,0.009982480000000005,0.013934069999999991,0.43457000000000023,0.46669
CV_0_obs_7,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,39784.9,11.31,304.4646,CV,-7.3453422453504755,-6.324130044681043,-6.585695311871668,-6.901702463505302,-20.0,-20.0,-16.767766478885267,-15.425274416405927,-15.144420277498282,-6.732828271596986,-7.774174008538107,-6.462432742847325,-20.0,-20.0,-7.008818242332127,-0.9994,0.9994,-0.9994,-15.333294863880102,-16.081497860363825,-15.081497860363827,-15.566710314804974,-20.0,-20.0,-15.667965722972482,-20.0,-20.0,-4.608359296507612,-4.510041520575165,-4.434506370131138,-12.455931955649724,-12.374996398985136,-12.555486793665956,6.84,0.9976100000000001,0.0004387254600000005,0.9938899999999999,5.626193400000006e-05,5.86,4.88,0.7663799999999992,6.0271182000000085e-05,5.16,0.9249699999999993,0.00011856008999999994,0.3353400000000002,0.010123897000000001,0.0012466686999999996,0.010257700000000007,0.014377269999999998,0.5144000000000001,0.5296800000000002
CV_0_obs_8,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3906.9,11.31,304.4646,CV,-20.0,-5.917573699139228,-20.0,-6.06013145554049,-20.0,-20.0,-20.0,-20.0,-14.002395212539545,-20.0,-20.0,-5.788345599446817,-20.0,-20.0,-6.1385850813640035,-0.9994,0.9994,-0.9994,-20.0,-20.0,-14.630413109263655,-14.135133085671473,-20.0,-20.0,-14.729787145103757,-20.0,-20.0,-20.0,-20.0,-3.8486301497525397,-20.0,-13.07355465218161,-20.0,6.88,0.9965200000000002,0.0004665950000000005,0.9926200000000003,3.5909300000000026e-05,5.4,4.82,0.758729999999999,8.075790000000008e-05,5.54,0.9262499999999991,0.00012258253999999986,0.5465099999999999,0.009643274000000005,0.004130548000000002,0.009071050000000004,0.022634339999999992,0.4303699999999999,0.31341000000000024
CV_0_obs_9,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3763.1,11.31,304.4646,CV,-20.0,-5.608888386297197,-5.909741947068683,-6.005155150446602,-20.0,-20.0,-20.0,-20.0,-14.590404980603184,-20.0,-20.0,-5.838332587562264,-20.0,-20.0,-5.917573699139228,-0.9994,-0.5721,-0.9994,-20.0,-20.0,-14.695940533782402,-14.201902067937514,-20.0,-20.0,-14.59260909552927,-20.0,-20.0,-20.0,-20.0,-3.8548035938858183,-20.0,-13.106071873457394,-20.0,6.88,0.9965200000000002,0.00046529900000000045,0.9919600000000003,3.587900000000003e-05,5.42,4.77,0.7590699999999992,7.99167000000001e-05,5.55,0.926319999999999,0.00012644433999999989,0.6000899999999999,0.009464154000000006,0.004196047000000003,0.008915190000000003,0.02262933999999999,0.46464999999999995,0.4807500000000002
CV_0_obs_10,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,-20.0,-5.909389292171594,-20.0,-6.085022527555669,-20.0,-20.0,-20.0,-20.0,-14.099960764512675,-20.0,-20.0,-5.85294232897164,-20.0,-20.0,-6.094042300907573,-0.9994,0.9969,-0.9994,-20.0,-20.0,-14.734946211495986,-14.213319546803351,-20.0,-20.0,-14.685290307044827,-20.0,-20.0,-20.0,-20.0,-3.8471004036062526,-20.0,-13.083546051450075,-20.0,6.88,0.9965200000000002,0.0004665950000000005,0.9926200000000003,3.587900000000003e-05,5.39,4.8,0.758729999999999,7.99167000000001e-05,5.54,0.9262499999999991,0.00012540343999999987,0.54503,0.009027734000000004,0.004130548000000002,0.008846180000000004,0.022634339999999992,0.43708999999999987,0.31073000000000023
CV_0_obs_12,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3942.6,11.31,304.4646,CV,-20.0,-5.790484985457369,-20.0,-5.958607314841775,-20.0,-20.0,-20.0,-20.0,-14.526951194911462,-20.0,-20.0,-5.831207979685818,-6.156642621562044,-20.0,-5.865504144165326,-0.9994,-0.5372,-0.2024,-20.0,-20.0,-14.69702006325175,-14.100562545713823,-20.0,-20.0,-14.408156588775215,-14.698319050706424,-15.999132278468773,-20.0,-20.0,-3.9336740746379624,-20.0,-13.169796401074295,-20.0,6.77,0.9964800000000001,0.00046552700000000046,0.9919200000000004,3.603050000000003e-05,5.32,4.8,0.7589399999999992,8.055770000000008e-05,5.21,0.9259099999999991,0.00012151243999999988,0.6014599999999999,0.009570857000000006,0.004013285000000003,0.009088010000000002,0.02223117999999999,0.5522699999999999,0.5035600000000002
